,Column1,Column2,fx,fy,fz,area,perimeter,nb_neighbor,aniso
0,31,"2,528605375",2.528605375,76.12625435000001,10.09243125,12.608766087587467,15.646933286669713,4.0,2.4733563004748174
1,30,"3,01239156",3.01239156,72.46312772000002,7.7885025,10.083259836471218,13.933631661271926,5.0,2.5866289235378472
2,43,"3,127752833",3.127752833333333,78.73813106666667,12.5051,17.84815602480524,18.4029448527002,3.0,3.5357318673932547
3,3,"3,17324742",3.17324742,44.17199404,3.3029775,30.65990879159981,23.011182139202884,5.0,1.7124930886168117
4,36,"3,20249394",3.20249394,66.93553544,5.0971875,17.1259337718071,18.376975016876077,5.0,2.3697155635322766
5,24,"3,71430804",3.71430804,60.95462210000001,3.2214225,16.83848267404303,18.339403325042344,5.0,2.329994951894415
6,16,"4,200125233",4.200125233333334,51.49012326666667,2.310725,45.02194371265095,30.99408688611785,6.0,2.8203658407085683
7,42,"4,299934786",4.299934785714286,76.17325768571429,10.966234821428571,15.189193282341416,18.398166983387902,7.0,3.0454232242347694
8,39,"4,549458667",4.549458666666667,28.3447523,9.51475,2.009417580166664,5.310004578809261,3.0,1.3689269350891176
9,29,"4,895310371",4.895310371428572,69.6554618,6.815667857142857,16.488500770089285,19.97996841076474,7.0,2.9868711133067603
10,45,"5,0937689",5.093768900000001,19.24177295,17.63626875,33.80558802092615,22.18371363746057,4.0,1.5773230237627949
11,25,"5,20588056",5.20588056,64.09374858,4.403969999999999,14.457141880435584,17.43868497711357,5.0,2.3134219660731703
