,res,diameter,aniso_cell,area,c_perimeter,l,b
0,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.09999999999999999
1,True,31.605739452976408,0.2574828619635013,0.8350771459631456,3.808465213454066,3.593813663804626e-07,0.09999999999999999
2,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.09999999999999999
3,True,31.620553868140295,0.25938132418171644,0.8336045417702551,3.8091210783214158,4.641588833612782e-06,0.09999999999999999
4,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.09999999999999999
5,True,31.80466940727744,0.2654981339970538,0.8400252834262658,3.8235122437337687,5.994842503189409e-05,0.09999999999999999
6,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.09999999999999999
7,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.09999999999999999
8,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.09999999999999999
9,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.09999999999999999
10,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.1291549665014884
11,True,31.59978207447788,0.24003029882184973,0.8547536231521732,3.8073276790737802,3.593813663804626e-07,0.1291549665014884
12,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.1291549665014884
13,True,31.619528522323044,0.2614841241987431,0.8324745524319815,3.8089186999126468,4.641588833612782e-06,0.1291549665014884
14,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.1291549665014884
15,True,31.80816121211472,0.2638901316946491,0.8418757503631944,3.8247116767496725,5.994842503189409e-05,0.1291549665014884
16,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.1291549665014884
17,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.1291549665014884
18,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.1291549665014884
19,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.1291549665014884
20,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.16681005372000587
21,True,31.636497063358178,0.25465777324509603,0.8389061656747366,3.808977237988689,3.593813663804626e-07,0.16681005372000587
22,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.16681005372000587
23,True,31.599489859088287,0.2610352558682343,0.8314281403046376,3.8091118223448484,4.641588833612782e-06,0.16681005372000587
24,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.16681005372000587
25,True,31.802539089434994,0.26434590247017425,0.8405547117523798,3.8232853970892933,5.994842503189409e-05,0.16681005372000587
26,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.16681005372000587
27,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.16681005372000587
28,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.16681005372000587
29,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.16681005372000587
30,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.21544346900318834
31,True,31.60670069854997,0.2561688788564314,0.8357688748308217,3.8081892317134507,3.593813663804626e-07,0.21544346900318834
32,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.21544346900318834
33,True,31.668877768192406,0.24304497179206283,0.853199146796621,3.80861351118196,4.641588833612782e-06,0.21544346900318834
34,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.21544346900318834
35,True,31.80817591313762,0.2637881489277442,0.8412738091536427,3.823614625182776,5.994842503189409e-05,0.21544346900318834
36,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.21544346900318834
37,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.21544346900318834
38,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.21544346900318834
39,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.21544346900318834
40,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.2782559402207124
41,True,31.618817581494227,0.2601793334808719,0.8322672569261361,3.808829296304874,3.593813663804626e-07,0.2782559402207124
42,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.2782559402207124
43,True,31.628240317286725,0.2616821265420088,0.8320732422046638,3.8094394796536055,4.641588833612782e-06,0.2782559402207124
44,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.2782559402207124
45,True,31.807327035568136,0.26416028685588977,0.8411425230543764,3.823551971739894,5.994842503189409e-05,0.2782559402207124
46,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.2782559402207124
47,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.2782559402207124
48,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.2782559402207124
49,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.2782559402207124
50,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.35938136638046275
51,True,31.6368010305758,0.2581130927122537,0.8343275460047948,3.807971355131486,3.593813663804626e-07,0.35938136638046275
52,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.35938136638046275
53,True,31.6018040842086,0.2610504194318284,0.8319140846879979,3.8096538528807424,4.641588833612782e-06,0.35938136638046275
54,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.35938136638046275
55,True,31.815879161677483,0.2634321175308734,0.8423212513353318,3.825352510207609,5.994842503189409e-05,0.35938136638046275
56,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.35938136638046275
57,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.35938136638046275
58,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.35938136638046275
59,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.35938136638046275
60,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.46415888336127786
61,True,31.594247183074188,0.2396121483651926,0.8553408381120184,3.8082158278399105,3.593813663804626e-07,0.46415888336127786
62,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.46415888336127786
63,True,31.664310335097667,0.25599774416566995,0.8377152409988115,3.8089937349533125,4.641588833612782e-06,0.46415888336127786
64,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.46415888336127786
65,True,31.82793397278758,0.2637309348732481,0.8418901646653522,3.824723572918362,5.994842503189409e-05,0.46415888336127786
66,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.46415888336127786
67,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.46415888336127786
68,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.46415888336127786
69,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.46415888336127786
70,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.5994842503189408
71,True,31.61450006932806,0.25329822255334355,0.8393506681616147,3.8082596009630105,3.593813663804626e-07,0.5994842503189408
72,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.5994842503189408
73,True,31.63293108445555,0.2545472802735101,0.8394343486766984,3.809048281310733,4.641588833612782e-06,0.5994842503189408
74,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.5994842503189408
75,True,31.819946832036294,0.2639327352759851,0.8418657490254148,3.824697403317955,5.994842503189409e-05,0.5994842503189408
76,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.5994842503189408
77,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.5994842503189408
78,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.5994842503189408
79,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.5994842503189408
80,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,0.7742636826811269
81,True,31.620278273601237,0.25168816097561253,0.8420648745473381,3.8085600361185907,3.593813663804626e-07,0.7742636826811269
82,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,0.7742636826811269
83,True,31.63135651282715,0.26112434553384967,0.8317980232098852,3.809260402129102,4.641588833612782e-06,0.7742636826811269
84,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,0.7742636826811269
85,True,31.80936737844535,0.264738759762341,0.8403074535788443,3.823711668443628,5.994842503189409e-05,0.7742636826811269
86,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,0.7742636826811269
87,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,0.7742636826811269
88,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,0.7742636826811269
89,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,0.7742636826811269
90,True,31.519507510568907,0.23935880295706705,0.8565084303236081,3.8077808207164847,1e-07,1.0
91,True,31.623051177249366,0.2453436633357385,0.8494270160403996,3.8082005215566834,3.593813663804626e-07,1.0
92,True,31.602243259294017,0.24471865860446873,0.8512770437495342,3.8081395321548523,1.2915496650148827e-06,1.0
93,True,31.666725078107916,0.2508788831412205,0.844497521137623,3.8088784362274293,4.641588833612782e-06,1.0
94,True,31.80317255833517,0.25750314113432077,0.8415374984020061,3.812126261814371,1.6681005372000593e-05,1.0
95,True,31.8082100533321,0.2642176311260503,0.8405939110548172,3.8236082055188527,5.994842503189409e-05,1.0
96,True,31.934029842748004,0.2661814496198944,0.8557326785872162,3.863154779802451,0.00021544346900318845,1.0
97,True,32.29575231883018,0.26694410479808695,0.8970024564603772,3.9659245780257875,0.0007742636826811277,1.0
98,True,32.4337400040488,0.2698646084225504,0.9580048116833222,4.093673577325735,0.002782559402207126,1.0
99,True,32.72437144358716,0.2718037266204303,0.9847823383005105,4.16096134300614,0.01,1.0
